image,value,unit,display_text
345.png,300000,,S T1
346.png,04:07:26,,d
347.png,,,Pr mode n
348.png,425130,,S T1
349.png,513000,,S T1
350.png,,,Pr mode n
351.png,00:00:00,,t BAL
352.png,11:13:43,,t
353.png,0000.00,rupees,lr
354.png,0036.0,,S T1
355.png,00:00:00,,d BAL
356.png,000030,kWh,IP B1
357.png,0000.00,rupees,lr
358.png,000003,kWh,EP B1
359.png,0000.00,rupees,BAL
360.png,00:00:00,,t lr
361.png,28:06:26,kW,d IP B1 MD
362.png,000030,kWh,IP B1
363.png,00.000,kW,EP B1 MD
364.png,00:00:00,,d lr
365.png,05.773,kW,IP B1 MD
366.png,,,PO mode n
367.png,09:15:00,kW,t IP B1 MD
368.png,18:37:34,,t
369.png,,,PO mode n
370.png,000141,kWh,IP B1
371.png,22:06:26,,d
372.png,16:06:26,kW,d IP B1 MD
373.png,00.000,kW,IP B1 MD
374.png,,,PO mode n
375.png,510000,,S T2
376.png,510000,,S T2
377.png,,,PO mode n
378.png,16:06:26,kW,d IP B1 MD
379.png,18:38:47,,t
380.png,22:06:26,,d
381.png,16:06:26,kW,d IP B1 MD
382.png,000141,kWh,IP B1
383.png,11:13:45,,t
384.png,04:07:26,,d
385.png,0,,S T1
386.png,251300,,S T1
387.png,,,Pr mode n
388.png,05.773,kW,IP B1 MD
389.png,09:15:00,kW,t IP B1 MD
390.png,05.773,kW,IP B1 MD
391.png,05.773,kW,IP B1 MD
392.png,28:06:26,kW,d IP B1 MD
393.png,00:00:00,,t BAL
394.png,11:13:52,,t
395.png,0000.00,rupees,BAL
396.png,000030,kWh,IP B1
397.png,251300,,S T1
398.png,0,,S T1
399.png,10:35:16,,t
400.png,10:35:17,,t
401.png,00:00:00,,d lr
402.png,0000.00,rupees,Alr
403.png,000003,kWh,EP B1
404.png,09:15:00,kW,t IP B1 MD
405.png,28:06:26,kW,d EP B1 MD
406.png,09:00:00,kW,t EP B1 MD
407.png,09:00:00,kW,t EP B1 MD
408.png,000005,kVAh,EP B1
409.png,000005,kVAh,EP B1
410.png,17:12:00,kW,t IP B1 MD
411.png,09:15:00,kVA,t IP B1 MD
412.png,18:50:17,,t
413.png,5100,,S T2
414.png,,,PuSh
415.png,7.8,,FG
416.png,,,PO mode n
417.png,22:06:26,,d
418.png,16:06:26,kW,d IP B1 MD
419.png,00.000,kW,IP B1 MD
420.png,0000.00,rupees,lr
421.png,05.773,kW,IP B1 MD
422.png,28:06:26,kW,d IP B1 MD
423.png,05.773,kW,IP B1 MD
424.png,28:06:26,kW,d IP B1 MD
425.png,1.000,,PF EP T BA
426.png,000004,kWh,EP T1
427.png,04:07:26,,d
428.png,0000.00,rupees,Alr
429.png,000034,kVAh,IP B1
430.png,28:06:26,kVA,d IP B1 MD
431.png,000005,kVAh,EP B1
432.png,,,C_OPEN
433.png,18:49:31,,t
434.png,22:06:26,,d
435.png,16:06:26,kW,d IP B1 MD
436.png,,,PO mode n
437.png,1.000,,PF EP T2 BA
438.png,00.000,kVA,IP B1 MD
439.png,10:24:45,,t
440.png,0000.00,rupees,lr
441.png,28:06:26,kW,d IP B1 MD
442.png,1.000,,PF EP T1 BA
443.png,000003,kWh,EP T1
444.png,05.773,kVA,IP B1 MD
445.png,,,Pr mode n
446.png,10:35:22,,t
447.png,00:00:00,,d lr
448.png,09:15:00,kW,t IP B1 MD
449.png,09:15:00,kW,t IP B1 MD
450.png,28:06:26,kW,d EP B1 MD
451.png,09:15:00,kW,t IP B1 MD
452.png,000005,kVAh,EP B1
453.png,300000,,S T1
454.png,11:01:30,,t
455.png,00:00:00,,t BAL
456.png,042513,,S T1
457.png,,,Pr mode n
458.png,11:03:01,,t
459.png,00:00:00,,t lr
460.png,11:04:12,,t
461.png,04:07:26,,d
462.png,,,Pr mode n
463.png,04:07:26,,d
464.png,042513,,S T1
465.png,11:13:52,,t
466.png,888888.8,kWArh,EP T8 BAL8
467.png,,,S T1
468.png,05.773,kW,IP B1 MD
469.png,28:06:26,kW,d EP B1 MD
470.png,00003,,S T2
471.png,888888.8,kWArh,EP T8 BAL8
472.png,16:06:26,kW,d IP B1 MD
473.png,000141,kWh,IP B1
474.png,03,,S T2
475.png,11:13:43,,t
476.png,0,,S T1
477.png,04251,,S T1
478.png,11:13:52,,t
479.png,0000000.6,kWh,L1 L2 T1 b1 CUM
480.png,0000000.0,kVAh,L1 L2 T1 t3
481.png,0.000,kW,L1 L2 T1 MD
482.png,01:01:58,kW,L1 L2 T1 d MD
483.png,01:00:00,kW,L1 L2 T1 t MD
484.png,0.000,kVA,L1 L2 T1 MD
485.png,01:01:58,kVA,L1 L2 T1 d MD
486.png,01:00:00,kVA,L1 L2 T1 t MD
487.png,0.913,,PF L1 L2 T1 AVG
488.png,0.916,,PF L1 L2 T1 AVG
489.png,167.83,V,L1 L2 T1  r
490.png,167.82,V,L1 L2 T1 r
491.png,167.83,V,L1 L2 T1 r
492.png,240.06,V,L1 L2 T1 y
493.png,01.200,kVA,T2
494.png,01.199,kVA,T2
495.png,00.822,kVA,T2
496.png,0.921,,PF T2
497.png,0.996,,PF T2
498.png,1.000,,PF T2
499.png,01:01:32,,d
500.png,06:11:25,,t
501.png,06:11:26,,t
502.png,000059,kWh,T2 F
503.png,17.907,kW,T2
504.png,17.909,kVA,T2
505.png,1.000,,PF T2
506.png,240.06,V,L1 L2 T1 y
507.png,0.00,V,L1 L2 T1 b
508.png,0.119,A,L1 L2 T1 r
509.png,0.119,A,L1 L2 T1 y
510.png,0.999,A,L1 L2 T1 b
511.png,0.000,A,L1 L2 T1 NEU
512.png,0.040,kW,L1 L2 T1 P
513.png,0.040,kW,L1 L2 T1 P
514.png,0.040,kVA,L1 L2 T1 P
515.png,1.000,,L1 L2 T1 PF
516.png,1.000,,PF T2
517.png,01:01:32,,d
518.png,06:12:41,,t
519.png,000060,kWh,T2 F
520.png,000060,kWh,F F
521.png,18.158,kW,T2
522.png,18.162,kVA,T2
523.png,18.164,kVA,T2
524.png,1.000,,PF T2
525.png,06:13:46,,t
526.png,1.000,,L1 L2 T1 PF R
527.png,1.000,,L1 L2 T1 PF y
528.png,1.000,,L1 L2 T1 PF b
529.png,50.000,Hz,T1 F
530.png,49.984,Hz,T1 F
531.png,0000000.6,kWh,L1 L2 T1 b1 CUM
532.png,0000000.6,kWh,L1 L2 T1 t1B1
533.png,0000000.0,kWh,L1 L2 T1 t2B1
534.png,0.280,kW,L1 L2 T1 B1 MD
535.png,06:13:51,,t
536.png,000060,kWh,T2 F
537.png,17.923,kW,T2
538.png,17.924,kW,T2
539.png,1.000,,PF T2
540.png,01:01:32,,d
541.png,06:14:56,,t
542.png,000060,kWh,T2 F
543.png,0.280,kW,L1 L2 T1 B1 MD
544.png,01:01:58,kW,L1 L2 T1 d B1 MD
545.png,00:00:00,kW,L1 L2 T1 t B1 MD
546.png,0.350,kVA,L1 L2 T1 B1 MD
547.png,01:01:58,kVA,L1 L2 T1 d B1 MD
548.png,01:01:58,kVA,L1 L2 T1 d B1 MD
549.png,00:00:00,kVA,L1 L2 T1 t B1 MD
550.png,0.800,,PF L1 L2 T1 B1 AVG
551.png,0000:00:05,,L1 L2 T1 POB
552.png,0000:00:05,,L1 L2 T1 POB
553.png,,,AutO L1 L2 T1 FOR
554.png,0.280,kW,L1 L2 T1 B1 IMD
555.png,000060,kWh,F F 
556.png,08.949,kW,T2
557.png,17.918,kVA,T2
558.png,17.918,kVA,T2
559.png,0.500,,PF T2
560.png,01:01:32,,d
561.png,06:16:06,,t
562.png,000060,kWh,T2 F
563.png,08.967,kW,T2
564.png,8888888.8,kWAhHz,TB
565.png,01:01:58,,L1 L2 T1 d
566.png,01:58:59,,L1 L2 T1 t
567.png,0000000.7,kWh,L1 L2 T1 CUM
568.png,0000000.7,kWh,L1 L2 T1 t1
569.png,0000000.0,kWh,L1 L2 T1 t2
570.png,0000000.0,kWh,L1 L2 T1 t3
571.png,0000001.0,kVAh,L1 L2 T1 CUM
572.png,0000001.0,kVAh,L1 L2 T1 t1
573.png,17.918,kVA,T2
574.png,18.066,kVA,T2
575.png,18.154,kVA,T2
576.png,0.499,,PF T2
577.png,06:17:16,,t
578.png,06:17:19,,t
579.png,000061,kWh,T2 F
580.png,000061,kWh,F F
581.png,09.081,kW,T2
582.png,18.159,kVA,T2
583.png,0000001.0,kVAh,L1 L2 T1 t1
584.png,0000000.0,kVAh,L1 L2 T1 t2
585.png,0000000.0,kVAh,L1 L2 T1 t3
586.png,0.165,kW,L1 L2 T1 MD
587.png,01:01:58,kW,L1 L2 T1 d MD
588.png,01:01:58,kW,L1 L2 T1 d MD
589.png,02:00:00,kW,L1 L2 T1 t MD
590.png,0.165,kVA,L1 L2 T1 MD
591.png,01:01:58,kVA,L1 L2 T1 d MD
592.png,02:00:00,kVA,L1 L2 T1 t MD
593.png,0000001.0,kVAh,L1 L2 T1 t1
594.png,0.500,,PF T2
595.png,01:01:32,,d
596.png,06:18:26,,t
597.png,06:18:33,,t
598.png,000061,kWh,T2 F
599.png,08.964,kW,T2
600.png,08.962,kW,T2
601.png,17.916,kVA,T2
602.png,0.500,,PF T2
603.png,0.917,,PF L1 L2 T1 AVG
604.png,195.04,V,T1 r
605.png,195.07,V,L1 L2 T1 y
606.png,0.00,V,L1 L2 T1 b
607.png,0.000,A,L1 L2 T1 r
608.png,0.000,A,L1 L2 T1 y
609.png,0.000,A,T1 b
610.png,0.000,A,T1 NEU
611.png,0.000,kW,T1 P
612.png,06:19:35,,t
613.png,06:19:41,,t
614.png,06:19:42,,t
615.png,000061,kWh,T2 F
616.png,01:01:32,,d
617.png,0.000,kW,L1 L2 T1 P
618.png,0.008,kVA,L1 L2 T1 P
619.png,0.046,kVA,L1 L2 T1 P
620.png,1.000,,L1 L2 T1 PF
621.png,1.000,,L1 L2 T1 PF
622.png,1.000,,L1 L2 T1 PF R
623.png,1.000,,L1 L2 T1 PF y
624.png,1.000,,L1 L2 T1 PF B
625.png,1.000,,L1 L2 T1 PF B
626.png,50.000,Hz,L1 L2 T1 F
627.png,49.984,Hz,L1 L2 T1 F
628.png,0000000.6,kWh,L1 L2 T1 b1 CUM
629.png,0000000.6,kWh,L1 L2 T1 t1B1
630.png,000061,kWh,T2 F
631.png,14.341,kW,T2
632.png,17.921,kVA,T2
633.png,0.800,,PF T2
634.png,000062,kWh,T2 F
635.png,0000000.6,kWh,L1 L2 T1 t1B1
636.png,0000000.0,kWh,L2 T1 t3B1
637.png,0.280,kW,L2 T1 B1 MD
638.png,01:01:58,kW,L2 T1 d B1 MD
639.png,00:00:00,kW,L2 T1 t B1 MD
640.png,0.350,kVA,L2 T1 B1 MD
641.png,01:01:58,kVA,L2 T1 d B1 MD
642.png,00:00:00,kVA,L2 T1 t B1 MD
643.png,0.800,,PF L2 T1 B1 AVG
644.png,14.338,kW,T2
645.png,18.158,kVA,T2
646.png,18.159,kVA,T2
647.png,0.800,,PF T2
648.png,01:01:32,,d
649.png,06:23:06,,t
650.png,06:23:13,,t
651.png,000062,kWh,T2 F
652.png,14.527,kW,T2
653.png,0000:00:05,,L1 L2 T1 POB
654.png,,,AutO L1 L2  T1 FOR
655.png,01:01:58,,L1 L2 T1 d
656.png,02:06:32,,L1 L2 T1 t
657.png,0000000.7,kWh,L1 L2 T1 CUM
658.png,0000000.7,kWh,L1 L2 T1 t1
659.png,18.161,kVA,T2
660.png,0.001,,PF T2
661.png,00.034,kW,T2
662.png,0000001.0,kVAh,L1 T1 CUM
663.png,0000000.0,kVAh,L1 T1 t3
664.png,0.165,kW,L1 T1 MD
665.png,01:01:58,kW,L1 T1 d MD
666.png,02:00:00,kW,L1 T1 t MD
667.png,09.077,kW,T2
668.png,18.157,kVA,T2
669.png,0.499,,PF T2
670.png,01:01:32,,d
671.png,192.51,V,L1 L2 T1 r
672.png,0.00,V,L1 L2 T1 b
673.png,0.119,A,L1 L2 T1 r
674.png,000062,kWh,F F 
675.png,0.002,,PF T2
676.png,0.119,A,L1 L2 T1 b
677.png,0.482,kW,L1 L2 T1 P
678.png,0.479,kVA,L1 L2 T1 P
679.png,1.000,,L1 L2 T1 PF
680.png,1.000,,L1 L2 T1 PF B
681.png,14.536,kW,T2
682.png,18.157,kVA,T2
683.png,0.800,,PF T2
684.png,14.528,kW,T2
685.png,50.000,Hz,L1 L2 T1 F
685.png,50.000,Hz,T1 F
685.png,50.000,Hz,T1 F
686.png,0000000.6,kWh,L1 L2 T1 b1 CUM
687.png,0000000.6,kWh,L1 L2 T1 t1B1
688.png,0.280,kW,L1 L2 T1 B1 MD
689.png,18.156,kVA,T2
690.png,000063,kWh,F F 
