selection_id,split,image,value,unit,display_text,confidence,expected_full_text,format,leading_zeros,max_repeat_run,display_token_count,review_priority,bin
81,test,26.png,888888.8,kWArh,EP T8 BAL8,0.55,888888.8 | kWArh | EP T8 BAL8,decimal,0,6,3,Mandatory review,0
82,test,65.png,,,Pr mode F,0.55,Pr mode F,text_only,0,0,3,Mandatory review,0
83,test,107.png,,,C_OPEN,0.85,C_OPEN,text_only,0,0,1,Standard review,1
84,test,196.png,000034,kVAh,IP B1,0.9,000034 | kVAh | IP B1,integer,4,4,2,Standard review,2
85,test,260.png,,,Pr mode n,0.65,Pr mode n,text_only,0,0,3,Priority review,3
86,test,334.png,,,AutO,0.8,AutO,text_only,0,0,1,Standard review,4
87,test,426.png,000004,kWh,EP T1,0.85,000004 | kWh | EP T1,integer,5,5,2,Standard review,5
88,test,479.png,0000000.6,kWh,L1 L2 T1 b1 CUM,0.75,0000000.6 | kWh | L1 L2 T1 b1 CUM,decimal,7,7,5,Priority review,6
89,test,553.png,,,AutO L1 L2 T1 FOR,0.8,AutO L1 L2 T1 FOR,text_only,0,0,5,Standard review,7
90,test,654.png,,,AutO L1 L2  T1 FOR,0.8,AutO L1 L2  T1 FOR,text_only,0,0,5,Standard review,8
