"sequence_id","batch","image","source_path","relative_destination","annotation_status","annotator","reviewer","notes"
"22","batch_01","58.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\58.png","batch_01/images/58.png","Not started","","",""
"23","batch_01","59.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\59.png","batch_01/images/59.png","Not started","","",""
"24","batch_01","60.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\60.png","batch_01/images/60.png","Not started","","",""
"25","batch_01","66.png","D:\Actual Project\lcd-data-extractor\data\Images\66.png","batch_01/images/66.png","Not started","","",""
"26","batch_01","68.png","D:\Actual Project\lcd-data-extractor\data\Images\68.png","batch_01/images/68.png","Not started","","",""
"27","batch_01","70.png","D:\Actual Project\lcd-data-extractor\data\Images\70.png","batch_01/images/70.png","Not started","","",""
"28","batch_01","73.png","D:\Actual Project\lcd-data-extractor\data\Images\73.png","batch_01/images/73.png","Not started","","",""
"29","batch_01","74.png","D:\Actual Project\lcd-data-extractor\data\Images\74.png","batch_01/images/74.png","Not started","","",""
"30","batch_01","75.png","D:\Actual Project\lcd-data-extractor\data\Images\75.png","batch_01/images/75.png","Not started","","",""
"31","batch_02","76.png","D:\Actual Project\lcd-data-extractor\data\Images\76.png","batch_02/images/76.png","Not started","","",""
"32","batch_02","77.png","D:\Actual Project\lcd-data-extractor\data\Images\77.png","batch_02/images/77.png","Not started","","",""
"33","batch_02","78.png","D:\Actual Project\lcd-data-extractor\data\Images\78.png","batch_02/images/78.png","Not started","","",""
"34","batch_02","80.png","D:\Actual Project\lcd-data-extractor\data\Images\80.png","batch_02/images/80.png","Not started","","",""
"35","batch_02","81.png","D:\Actual Project\lcd-data-extractor\data\Images\81.png","batch_02/images/81.png","Not started","","",""
"36","batch_02","82.png","D:\Actual Project\lcd-data-extractor\data\Images\82.png","batch_02/images/82.png","Not started","","",""
"37","batch_02","83.png","D:\Actual Project\lcd-data-extractor\data\Images\83.png","batch_02/images/83.png","Not started","","",""
"38","batch_02","84.png","D:\Actual Project\lcd-data-extractor\data\Images\84.png","batch_02/images/84.png","Not started","","",""
"39","batch_02","85.png","D:\Actual Project\lcd-data-extractor\data\Images\85.png","batch_02/images/85.png","Not started","","",""
"40","batch_02","86.png","D:\Actual Project\lcd-data-extractor\data\Images\86.png","batch_02/images/86.png","Not started","","",""
"41","batch_02","87.png","D:\Actual Project\lcd-data-extractor\data\Images\87.png","batch_02/images/87.png","Not started","","",""
"42","batch_02","89.png","D:\Actual Project\lcd-data-extractor\data\Images\89.png","batch_02/images/89.png","Not started","","",""
"43","batch_02","90.png","D:\Actual Project\lcd-data-extractor\data\Images\90.png","batch_02/images/90.png","Not started","","",""
"44","batch_02","91.png","D:\Actual Project\lcd-data-extractor\data\Images\91.png","batch_02/images/91.png","Not started","","",""
"45","batch_02","92.png","D:\Actual Project\lcd-data-extractor\data\Images\92.png","batch_02/images/92.png","Not started","","",""
"46","batch_02","93.png","D:\Actual Project\lcd-data-extractor\data\Images\93.png","batch_02/images/93.png","Not started","","",""
"47","batch_02","95.png","D:\Actual Project\lcd-data-extractor\data\Images\95.png","batch_02/images/95.png","Not started","","",""
"48","batch_02","96.png","D:\Actual Project\lcd-data-extractor\data\Images\96.png","batch_02/images/96.png","Not started","","",""
"49","batch_02","99.png","D:\Actual Project\lcd-data-extractor\data\Images\99.png","batch_02/images/99.png","Not started","","",""
"50","batch_02","102.png","D:\Actual Project\lcd-data-extractor\data\Images\102.png","batch_02/images/102.png","Not started","","",""
"51","batch_02","104.png","D:\Actual Project\lcd-data-extractor\data\Images\104.png","batch_02/images/104.png","Not started","","",""
"52","batch_02","112.png","D:\Actual Project\lcd-data-extractor\data\Images\112.png","batch_02/images/112.png","Not started","","",""
"53","batch_02","115.png","D:\Actual Project\lcd-data-extractor\data\Images\115.png","batch_02/images/115.png","Not started","","",""
"54","batch_02","120.png","D:\Actual Project\lcd-data-extractor\data\Images\120.png","batch_02/images/120.png","Not started","","",""
"55","batch_02","125.png","D:\Actual Project\lcd-data-extractor\data\Images\125.png","batch_02/images/125.png","Not started","","",""
"56","batch_02","128.png","D:\Actual Project\lcd-data-extractor\data\Images\128.png","batch_02/images/128.png","Not started","","",""
"57","batch_02","129.png","D:\Actual Project\lcd-data-extractor\data\Images\129.png","batch_02/images/129.png","Not started","","",""
"58","batch_02","131.png","D:\Actual Project\lcd-data-extractor\data\Images\131.png","batch_02/images/131.png","Not started","","",""
"59","batch_02","132.png","D:\Actual Project\lcd-data-extractor\data\Images\132.png","batch_02/images/132.png","Not started","","",""
"60","batch_02","134.png","D:\Actual Project\lcd-data-extractor\data\Images\134.png","batch_02/images/134.png","Not started","","",""
"61","batch_03","135.png","D:\Actual Project\lcd-data-extractor\data\Images\135.png","batch_03/images/135.png","Not started","","",""
"62","batch_03","138.png","D:\Actual Project\lcd-data-extractor\data\Images\138.png","batch_03/images/138.png","Not started","","",""
"63","batch_03","139.png","D:\Actual Project\lcd-data-extractor\data\Images\139.png","batch_03/images/139.png","Not started","","",""
"64","batch_03","140.png","D:\Actual Project\lcd-data-extractor\data\Images\140.png","batch_03/images/140.png","Not started","","",""
"65","batch_03","141.png","D:\Actual Project\lcd-data-extractor\data\Images\141.png","batch_03/images/141.png","Not started","","",""
"66","batch_03","142.png","D:\Actual Project\lcd-data-extractor\data\Images\142.png","batch_03/images/142.png","Not started","","",""
"67","batch_03","144.png","D:\Actual Project\lcd-data-extractor\data\Images\144.png","batch_03/images/144.png","Not started","","",""
"68","batch_03","145.png","D:\Actual Project\lcd-data-extractor\data\Images\145.png","batch_03/images/145.png","Not started","","",""
"69","batch_03","147.png","D:\Actual Project\lcd-data-extractor\data\Images\147.png","batch_03/images/147.png","Not started","","",""
"70","batch_03","149.png","D:\Actual Project\lcd-data-extractor\data\Images\149.png","batch_03/images/149.png","Not started","","",""
"71","batch_03","150.png","D:\Actual Project\lcd-data-extractor\data\Images\150.png","batch_03/images/150.png","Not started","","",""
"72","batch_03","152.png","D:\Actual Project\lcd-data-extractor\data\Images\152.png","batch_03/images/152.png","Not started","","",""
"73","batch_03","153.png","D:\Actual Project\lcd-data-extractor\data\Images\153.png","batch_03/images/153.png","Not started","","",""
"74","batch_03","156.png","D:\Actual Project\lcd-data-extractor\data\Images\156.png","batch_03/images/156.png","Not started","","",""
"75","batch_03","157.png","D:\Actual Project\lcd-data-extractor\data\Images\157.png","batch_03/images/157.png","Not started","","",""
"76","batch_03","158.png","D:\Actual Project\lcd-data-extractor\data\Images\158.png","batch_03/images/158.png","Not started","","",""
"77","batch_03","164.png","D:\Actual Project\lcd-data-extractor\data\Images\164.png","batch_03/images/164.png","Not started","","",""
"78","batch_03","165.png","D:\Actual Project\lcd-data-extractor\data\Images\165.png","batch_03/images/165.png","Not started","","",""
"79","batch_03","166.png","D:\Actual Project\lcd-data-extractor\data\Images\166.png","batch_03/images/166.png","Not started","","",""
"80","batch_03","167.png","D:\Actual Project\lcd-data-extractor\data\Images\167.png","batch_03/images/167.png","Not started","","",""
"81","batch_03","168.png","D:\Actual Project\lcd-data-extractor\data\Images\168.png","batch_03/images/168.png","Not started","","",""
"82","batch_03","169.png","D:\Actual Project\lcd-data-extractor\data\Images\169.png","batch_03/images/169.png","Not started","","",""
"83","batch_03","170.png","D:\Actual Project\lcd-data-extractor\data\Images\170.png","batch_03/images/170.png","Not started","","",""
"84","batch_03","171.png","D:\Actual Project\lcd-data-extractor\data\Images\171.png","batch_03/images/171.png","Not started","","",""
"85","batch_03","172.png","D:\Actual Project\lcd-data-extractor\data\Images\172.png","batch_03/images/172.png","Not started","","",""
"86","batch_03","176.png","D:\Actual Project\lcd-data-extractor\data\Images\176.png","batch_03/images/176.png","Not started","","",""
"87","batch_03","177.png","D:\Actual Project\lcd-data-extractor\data\Images\177.png","batch_03/images/177.png","Not started","","",""
"88","batch_03","179.png","D:\Actual Project\lcd-data-extractor\data\Images\179.png","batch_03/images/179.png","Not started","","",""
"89","batch_03","180.png","D:\Actual Project\lcd-data-extractor\data\Images\180.png","batch_03/images/180.png","Not started","","",""
"90","batch_03","182.png","D:\Actual Project\lcd-data-extractor\data\Images\182.png","batch_03/images/182.png","Not started","","",""
"91","batch_04","183.png","D:\Actual Project\lcd-data-extractor\data\Images\183.png","batch_04/images/183.png","Not started","","",""
"92","batch_04","190.png","D:\Actual Project\lcd-data-extractor\data\Images\190.png","batch_04/images/190.png","Not started","","",""
"93","batch_04","191.png","D:\Actual Project\lcd-data-extractor\data\Images\191.png","batch_04/images/191.png","Not started","","",""
"94","batch_04","192.png","D:\Actual Project\lcd-data-extractor\data\Images\192.png","batch_04/images/192.png","Not started","","",""
"95","batch_04","193.png","D:\Actual Project\lcd-data-extractor\data\Images\193.png","batch_04/images/193.png","Not started","","",""
"96","batch_04","194.png","D:\Actual Project\lcd-data-extractor\data\Images\194.png","batch_04/images/194.png","Not started","","",""
"97","batch_04","195.png","D:\Actual Project\lcd-data-extractor\data\Images\195.png","batch_04/images/195.png","Not started","","",""
"98","batch_04","197.png","D:\Actual Project\lcd-data-extractor\data\Images\197.png","batch_04/images/197.png","Not started","","",""
"99","batch_04","200.png","D:\Actual Project\lcd-data-extractor\data\Images\200.png","batch_04/images/200.png","Not started","","",""
"100","batch_04","202.png","D:\Actual Project\lcd-data-extractor\data\Images\202.png","batch_04/images/202.png","Not started","","",""
"101","batch_04","204.png","D:\Actual Project\lcd-data-extractor\data\Images\204.png","batch_04/images/204.png","Not started","","",""
"102","batch_04","206.png","D:\Actual Project\lcd-data-extractor\data\Images\206.png","batch_04/images/206.png","Not started","","",""
"103","batch_04","207.png","D:\Actual Project\lcd-data-extractor\data\Images\207.png","batch_04/images/207.png","Not started","","",""
"104","batch_04","208.png","D:\Actual Project\lcd-data-extractor\data\Images\208.png","batch_04/images/208.png","Not started","","",""
"105","batch_04","209.png","D:\Actual Project\lcd-data-extractor\data\Images\209.png","batch_04/images/209.png","Not started","","",""
"106","batch_04","210.png","D:\Actual Project\lcd-data-extractor\data\Images\210.png","batch_04/images/210.png","Not started","","",""
"107","batch_04","215.png","D:\Actual Project\lcd-data-extractor\data\Images\215.png","batch_04/images/215.png","Not started","","",""
"108","batch_04","216.png","D:\Actual Project\lcd-data-extractor\data\Images\216.png","batch_04/images/216.png","Not started","","",""
"109","batch_04","217.png","D:\Actual Project\lcd-data-extractor\data\Images\217.png","batch_04/images/217.png","Not started","","",""
"110","batch_04","219.png","D:\Actual Project\lcd-data-extractor\data\Images\219.png","batch_04/images/219.png","Not started","","",""
"111","batch_04","221.png","D:\Actual Project\lcd-data-extractor\data\Images\221.png","batch_04/images/221.png","Not started","","",""
"112","batch_04","224.png","D:\Actual Project\lcd-data-extractor\data\Images\224.png","batch_04/images/224.png","Not started","","",""
"113","batch_04","225.png","D:\Actual Project\lcd-data-extractor\data\Images\225.png","batch_04/images/225.png","Not started","","",""
"114","batch_04","227.png","D:\Actual Project\lcd-data-extractor\data\Images\227.png","batch_04/images/227.png","Not started","","",""
"115","batch_04","230.png","D:\Actual Project\lcd-data-extractor\data\Images\230.png","batch_04/images/230.png","Not started","","",""
"116","batch_04","232.png","D:\Actual Project\lcd-data-extractor\data\Images\232.png","batch_04/images/232.png","Not started","","",""
"117","batch_04","233.png","D:\Actual Project\lcd-data-extractor\data\Images\233.png","batch_04/images/233.png","Not started","","",""
"118","batch_04","234.png","D:\Actual Project\lcd-data-extractor\data\Images\234.png","batch_04/images/234.png","Not started","","",""
"119","batch_04","235.png","D:\Actual Project\lcd-data-extractor\data\Images\235.png","batch_04/images/235.png","Not started","","",""
"120","batch_04","236.png","D:\Actual Project\lcd-data-extractor\data\Images\236.png","batch_04/images/236.png","Not started","","",""
"121","batch_05","237.png","D:\Actual Project\lcd-data-extractor\data\Images\237.png","batch_05/images/237.png","Not started","","",""
"122","batch_05","238.png","D:\Actual Project\lcd-data-extractor\data\Images\238.png","batch_05/images/238.png","Not started","","",""
"123","batch_05","241.png","D:\Actual Project\lcd-data-extractor\data\Images\241.png","batch_05/images/241.png","Not started","","",""
"124","batch_05","242.png","D:\Actual Project\lcd-data-extractor\data\Images\242.png","batch_05/images/242.png","Not started","","",""
"125","batch_05","244.png","D:\Actual Project\lcd-data-extractor\data\Images\244.png","batch_05/images/244.png","Not started","","",""
"126","batch_05","245.png","D:\Actual Project\lcd-data-extractor\data\Images\245.png","batch_05/images/245.png","Not started","","",""
"127","batch_05","254.png","D:\Actual Project\lcd-data-extractor\data\Images\254.png","batch_05/images/254.png","Not started","","",""
"128","batch_05","259.png","D:\Actual Project\lcd-data-extractor\data\Images\259.png","batch_05/images/259.png","Not started","","",""
"129","batch_05","261.png","D:\Actual Project\lcd-data-extractor\data\Images\261.png","batch_05/images/261.png","Not started","","",""
"130","batch_05","262.png","D:\Actual Project\lcd-data-extractor\data\Images\262.png","batch_05/images/262.png","Not started","","",""
"131","batch_05","263.png","D:\Actual Project\lcd-data-extractor\data\Images\263.png","batch_05/images/263.png","Not started","","",""
"132","batch_05","264.png","D:\Actual Project\lcd-data-extractor\data\Images\264.png","batch_05/images/264.png","Not started","","",""
"133","batch_05","265.png","D:\Actual Project\lcd-data-extractor\data\Images\265.png","batch_05/images/265.png","Not started","","",""
"134","batch_05","267.png","D:\Actual Project\lcd-data-extractor\data\Images\267.png","batch_05/images/267.png","Not started","","",""
"135","batch_05","270.png","D:\Actual Project\lcd-data-extractor\data\Images\270.png","batch_05/images/270.png","Not started","","",""
"136","batch_05","274.png","D:\Actual Project\lcd-data-extractor\data\Images\274.png","batch_05/images/274.png","Not started","","",""
"137","batch_05","275.png","D:\Actual Project\lcd-data-extractor\data\Images\275.png","batch_05/images/275.png","Not started","","",""
"138","batch_05","277.png","D:\Actual Project\lcd-data-extractor\data\Images\277.png","batch_05/images/277.png","Not started","","",""
"139","batch_05","278.png","D:\Actual Project\lcd-data-extractor\data\Images\278.png","batch_05/images/278.png","Not started","","",""
"140","batch_05","279.png","D:\Actual Project\lcd-data-extractor\data\Images\279.png","batch_05/images/279.png","Not started","","",""
"141","batch_05","280.png","D:\Actual Project\lcd-data-extractor\data\Images\280.png","batch_05/images/280.png","Not started","","",""
"142","batch_05","281.png","D:\Actual Project\lcd-data-extractor\data\Images\281.png","batch_05/images/281.png","Not started","","",""
"143","batch_05","285.png","D:\Actual Project\lcd-data-extractor\data\Images\285.png","batch_05/images/285.png","Not started","","",""
"144","batch_05","286.png","D:\Actual Project\lcd-data-extractor\data\Images\286.png","batch_05/images/286.png","Not started","","",""
"145","batch_05","293.png","D:\Actual Project\lcd-data-extractor\data\Images\293.png","batch_05/images/293.png","Not started","","",""
"146","batch_05","295.png","D:\Actual Project\lcd-data-extractor\data\Images\295.png","batch_05/images/295.png","Not started","","",""
"147","batch_05","299.png","D:\Actual Project\lcd-data-extractor\data\Images\299.png","batch_05/images/299.png","Not started","","",""
"148","batch_05","305.png","D:\Actual Project\lcd-data-extractor\data\Images\305.png","batch_05/images/305.png","Not started","","",""
"149","batch_05","306.png","D:\Actual Project\lcd-data-extractor\data\Images\306.png","batch_05/images/306.png","Not started","","",""
"150","batch_05","308.png","D:\Actual Project\lcd-data-extractor\data\Images\308.png","batch_05/images/308.png","Not started","","",""
"151","batch_06","311.png","D:\Actual Project\lcd-data-extractor\data\Images\311.png","batch_06/images/311.png","Not started","","",""
"152","batch_06","314.png","D:\Actual Project\lcd-data-extractor\data\Images\314.png","batch_06/images/314.png","Not started","","",""
"153","batch_06","315.png","D:\Actual Project\lcd-data-extractor\data\Images\315.png","batch_06/images/315.png","Not started","","",""
"154","batch_06","316.png","D:\Actual Project\lcd-data-extractor\data\Images\316.png","batch_06/images/316.png","Not started","","",""
"155","batch_06","318.png","D:\Actual Project\lcd-data-extractor\data\Images\318.png","batch_06/images/318.png","Not started","","",""
"156","batch_06","319.png","D:\Actual Project\lcd-data-extractor\data\Images\319.png","batch_06/images/319.png","Not started","","",""
"157","batch_06","321.png","D:\Actual Project\lcd-data-extractor\data\Images\321.png","batch_06/images/321.png","Not started","","",""
"158","batch_06","322.png","D:\Actual Project\lcd-data-extractor\data\Images\322.png","batch_06/images/322.png","Not started","","",""
"159","batch_06","323.png","D:\Actual Project\lcd-data-extractor\data\Images\323.png","batch_06/images/323.png","Not started","","",""
"160","batch_06","324.png","D:\Actual Project\lcd-data-extractor\data\Images\324.png","batch_06/images/324.png","Not started","","",""
"161","batch_06","326.png","D:\Actual Project\lcd-data-extractor\data\Images\326.png","batch_06/images/326.png","Not started","","",""
"162","batch_06","330.png","D:\Actual Project\lcd-data-extractor\data\Images\330.png","batch_06/images/330.png","Not started","","",""
"163","batch_06","331.png","D:\Actual Project\lcd-data-extractor\data\Images\331.png","batch_06/images/331.png","Not started","","",""
"164","batch_06","332.png","D:\Actual Project\lcd-data-extractor\data\Images\332.png","batch_06/images/332.png","Not started","","",""
"165","batch_06","333.png","D:\Actual Project\lcd-data-extractor\data\Images\333.png","batch_06/images/333.png","Not started","","",""
"166","batch_06","335.png","D:\Actual Project\lcd-data-extractor\data\Images\335.png","batch_06/images/335.png","Not started","","",""
"167","batch_06","336.png","D:\Actual Project\lcd-data-extractor\data\Images\336.png","batch_06/images/336.png","Not started","","",""
"168","batch_06","337.png","D:\Actual Project\lcd-data-extractor\data\Images\337.png","batch_06/images/337.png","Not started","","",""
"169","batch_06","338.png","D:\Actual Project\lcd-data-extractor\data\Images\338.png","batch_06/images/338.png","Not started","","",""
"170","batch_06","342.png","D:\Actual Project\lcd-data-extractor\data\Images\342.png","batch_06/images/342.png","Not started","","",""
"171","batch_06","343.png","D:\Actual Project\lcd-data-extractor\data\Images\343.png","batch_06/images/343.png","Not started","","",""
"172","batch_06","345.png","D:\Actual Project\lcd-data-extractor\data\Images\345.png","batch_06/images/345.png","Not started","","",""
"173","batch_06","346.png","D:\Actual Project\lcd-data-extractor\data\Images\346.png","batch_06/images/346.png","Not started","","",""
"174","batch_06","348.png","D:\Actual Project\lcd-data-extractor\data\Images\348.png","batch_06/images/348.png","Not started","","",""
"175","batch_06","349.png","D:\Actual Project\lcd-data-extractor\data\Images\349.png","batch_06/images/349.png","Not started","","",""
"176","batch_06","350.png","D:\Actual Project\lcd-data-extractor\data\Images\350.png","batch_06/images/350.png","Not started","","",""
"177","batch_06","351.png","D:\Actual Project\lcd-data-extractor\data\Images\351.png","batch_06/images/351.png","Not started","","",""
"178","batch_06","353.png","D:\Actual Project\lcd-data-extractor\data\Images\353.png","batch_06/images/353.png","Not started","","",""
"179","batch_06","355.png","D:\Actual Project\lcd-data-extractor\data\Images\355.png","batch_06/images/355.png","Not started","","",""
"180","batch_06","358.png","D:\Actual Project\lcd-data-extractor\data\Images\358.png","batch_06/images/358.png","Not started","","",""
"181","batch_07","359.png","D:\Actual Project\lcd-data-extractor\data\Images\359.png","batch_07/images/359.png","Not started","","",""
"182","batch_07","360.png","D:\Actual Project\lcd-data-extractor\data\Images\360.png","batch_07/images/360.png","Not started","","",""
"183","batch_07","362.png","D:\Actual Project\lcd-data-extractor\data\Images\362.png","batch_07/images/362.png","Not started","","",""
"184","batch_07","363.png","D:\Actual Project\lcd-data-extractor\data\Images\363.png","batch_07/images/363.png","Not started","","",""
"185","batch_07","364.png","D:\Actual Project\lcd-data-extractor\data\Images\364.png","batch_07/images/364.png","Not started","","",""
"186","batch_07","366.png","D:\Actual Project\lcd-data-extractor\data\Images\366.png","batch_07/images/366.png","Not started","","",""
"187","batch_07","367.png","D:\Actual Project\lcd-data-extractor\data\Images\367.png","batch_07/images/367.png","Not started","","",""
"188","batch_07","368.png","D:\Actual Project\lcd-data-extractor\data\Images\368.png","batch_07/images/368.png","Not started","","",""
"189","batch_07","369.png","D:\Actual Project\lcd-data-extractor\data\Images\369.png","batch_07/images/369.png","Not started","","",""
"190","batch_07","371.png","D:\Actual Project\lcd-data-extractor\data\Images\371.png","batch_07/images/371.png","Not started","","",""
"191","batch_07","374.png","D:\Actual Project\lcd-data-extractor\data\Images\374.png","batch_07/images/374.png","Not started","","",""
"192","batch_07","375.png","D:\Actual Project\lcd-data-extractor\data\Images\375.png","batch_07/images/375.png","Not started","","",""
"193","batch_07","376.png","D:\Actual Project\lcd-data-extractor\data\Images\376.png","batch_07/images/376.png","Not started","","",""
"194","batch_07","377.png","D:\Actual Project\lcd-data-extractor\data\Images\377.png","batch_07/images/377.png","Not started","","",""
"195","batch_07","378.png","D:\Actual Project\lcd-data-extractor\data\Images\378.png","batch_07/images/378.png","Not started","","",""
"196","batch_07","379.png","D:\Actual Project\lcd-data-extractor\data\Images\379.png","batch_07/images/379.png","Not started","","",""
"197","batch_07","380.png","D:\Actual Project\lcd-data-extractor\data\Images\380.png","batch_07/images/380.png","Not started","","",""
"198","batch_07","381.png","D:\Actual Project\lcd-data-extractor\data\Images\381.png","batch_07/images/381.png","Not started","","",""
"199","batch_07","382.png","D:\Actual Project\lcd-data-extractor\data\Images\382.png","batch_07/images/382.png","Not started","","",""
"200","batch_07","384.png","D:\Actual Project\lcd-data-extractor\data\Images\384.png","batch_07/images/384.png","Not started","","",""
"201","batch_07","386.png","D:\Actual Project\lcd-data-extractor\data\Images\386.png","batch_07/images/386.png","Not started","","",""
"202","batch_07","387.png","D:\Actual Project\lcd-data-extractor\data\Images\387.png","batch_07/images/387.png","Not started","","",""
"203","batch_07","388.png","D:\Actual Project\lcd-data-extractor\data\Images\388.png","batch_07/images/388.png","Not started","","",""
"204","batch_07","389.png","D:\Actual Project\lcd-data-extractor\data\Images\389.png","batch_07/images/389.png","Not started","","",""
"205","batch_07","390.png","D:\Actual Project\lcd-data-extractor\data\Images\390.png","batch_07/images/390.png","Not started","","",""
"206","batch_07","391.png","D:\Actual Project\lcd-data-extractor\data\Images\391.png","batch_07/images/391.png","Not started","","",""
"207","batch_07","392.png","D:\Actual Project\lcd-data-extractor\data\Images\392.png","batch_07/images/392.png","Not started","","",""
"208","batch_07","393.png","D:\Actual Project\lcd-data-extractor\data\Images\393.png","batch_07/images/393.png","Not started","","",""
"209","batch_07","395.png","D:\Actual Project\lcd-data-extractor\data\Images\395.png","batch_07/images/395.png","Not started","","",""
"210","batch_07","396.png","D:\Actual Project\lcd-data-extractor\data\Images\396.png","batch_07/images/396.png","Not started","","",""
"211","batch_08","398.png","D:\Actual Project\lcd-data-extractor\data\more images\398.png","batch_08/images/398.png","Not started","","",""
"212","batch_08","401.png","D:\Actual Project\lcd-data-extractor\data\more images\401.png","batch_08/images/401.png","Not started","","",""
"213","batch_08","402.png","D:\Actual Project\lcd-data-extractor\data\more images\402.png","batch_08/images/402.png","Not started","","",""
"214","batch_08","403.png","D:\Actual Project\lcd-data-extractor\data\more images\403.png","batch_08/images/403.png","Not started","","",""
"215","batch_08","404.png","D:\Actual Project\lcd-data-extractor\data\more images\404.png","batch_08/images/404.png","Not started","","",""
"216","batch_08","407.png","D:\Actual Project\lcd-data-extractor\data\more images\407.png","batch_08/images/407.png","Not started","","",""
"217","batch_08","410.png","D:\Actual Project\lcd-data-extractor\data\more images\410.png","batch_08/images/410.png","Not started","","",""
"218","batch_08","417.png","D:\Actual Project\lcd-data-extractor\data\more images\417.png","batch_08/images/417.png","Not started","","",""
"219","batch_08","419.png","D:\Actual Project\lcd-data-extractor\data\more images\419.png","batch_08/images/419.png","Not started","","",""
"220","batch_08","420.png","D:\Actual Project\lcd-data-extractor\data\more images\420.png","batch_08/images/420.png","Not started","","",""
"221","batch_08","421.png","D:\Actual Project\lcd-data-extractor\data\more images\421.png","batch_08/images/421.png","Not started","","",""
"222","batch_08","423.png","D:\Actual Project\lcd-data-extractor\data\more images\423.png","batch_08/images/423.png","Not started","","",""
"223","batch_08","424.png","D:\Actual Project\lcd-data-extractor\data\more images\424.png","batch_08/images/424.png","Not started","","",""
"224","batch_08","427.png","D:\Actual Project\lcd-data-extractor\data\more images\427.png","batch_08/images/427.png","Not started","","",""
"225","batch_08","428.png","D:\Actual Project\lcd-data-extractor\data\more images\428.png","batch_08/images/428.png","Not started","","",""
"226","batch_08","429.png","D:\Actual Project\lcd-data-extractor\data\more images\429.png","batch_08/images/429.png","Not started","","",""
"227","batch_08","431.png","D:\Actual Project\lcd-data-extractor\data\more images\431.png","batch_08/images/431.png","Not started","","",""
"228","batch_08","434.png","D:\Actual Project\lcd-data-extractor\data\more images\434.png","batch_08/images/434.png","Not started","","",""
"229","batch_08","435.png","D:\Actual Project\lcd-data-extractor\data\more images\435.png","batch_08/images/435.png","Not started","","",""
"230","batch_08","436.png","D:\Actual Project\lcd-data-extractor\data\more images\436.png","batch_08/images/436.png","Not started","","",""
"231","batch_08","440.png","D:\Actual Project\lcd-data-extractor\data\more images\440.png","batch_08/images/440.png","Not started","","",""
"232","batch_08","441.png","D:\Actual Project\lcd-data-extractor\data\more images\441.png","batch_08/images/441.png","Not started","","",""
