selection_id,image,value,unit,display_text,confidence,format,source_group,leading_zeros,max_repeat_run,token_count,selection_reason,review_priority,annotation_status,annotator,reviewer,notes
65,470.png,00003,,S T2,0.4,integer,more_images,4,4,2,"leading zeros, repeated chars, low-confidence review case",Mandatory review,Not started,,,
66,474.png,03,,S T2,0.3,integer,more_images,1,1,2,"leading zeros, low-confidence review case",Mandatory review,Not started,,,
67,416.png,,,PO mode n,0.65,text_only,more_images,0,0,3,coverage diversity,Priority review,Not started,,,
68,432.png,,,C_OPEN,0.85,text_only,more_images,0,0,1,coverage diversity,Standard review,Not started,,,
69,483.png,01:00:00,kW,L1 L2 T1 t MD,0.85,colon,Video_images,1,2,5,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
70,486.png,01:00:00,kVA,L1 L2 T1 t MD,0.85,colon,Video_images,1,2,5,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
71,500.png,06:11:25,,t,0.9,colon,Video_images,1,2,1,"colon/time, leading zeros, repeated chars",Standard review,Not started,,,
72,545.png,00:00:00,kW,L1 L2 T1 t B1 MD,0.7,colon,Video_images,2,2,6,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
73,549.png,00:00:00,kVA,L1 L2 T1 t B1 MD,0.7,colon,Video_images,2,2,6,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
74,552.png,0000:00:05,,L1 L2 T1 POB,0.75,colon,Video_images,4,4,4,"colon/time, leading zeros, repeated chars, multi-token text",Priority review,Not started,,,
75,589.png,02:00:00,kW,L1 L2 T1 t MD,0.85,colon,Video_images,1,2,5,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
76,592.png,02:00:00,kVA,L1 L2 T1 t MD,0.85,colon,Video_images,1,2,5,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
77,597.png,06:18:33,,t,0.9,colon,Video_images,1,2,1,"colon/time, leading zeros, repeated chars",Standard review,Not started,,,
78,639.png,00:00:00,kW,L2 T1 t B1 MD,0.7,colon,Video_images,2,2,5,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
79,642.png,00:00:00,kVA,L2 T1 t B1 MD,0.7,colon,Video_images,2,2,5,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
80,666.png,02:00:00,kW,L1 T1 t MD,0.85,colon,Video_images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
81,508.png,0.119,A,L1 L2 T1 r,0.85,decimal,Video_images,1,2,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
82,509.png,0.119,A,L1 L2 T1 y,0.85,decimal,Video_images,1,2,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
83,510.png,0.999,A,L1 L2 T1 b,0.85,decimal,Video_images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
84,531.png,0000000.6,kWh,L1 L2 T1 b1 CUM,0.75,decimal,Video_images,7,7,5,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
85,550.png,0.800,,PF L1 L2 T1 B1 AVG,0.75,decimal,Video_images,1,2,6,"decimal, leading zeros, repeated chars, multi-token text",Priority review,Not started,,,
86,567.png,0000000.7,kWh,L1 L2 T1 CUM,0.8,decimal,Video_images,7,7,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
87,568.png,0000000.7,kWh,L1 L2 T1 t1,0.75,decimal,Video_images,7,7,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
88,570.png,0000000.0,kWh,L1 L2 T1 t3,0.8,decimal,Video_images,7,7,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
89,571.png,0000001.0,kVAh,L1 L2 T1 CUM,0.8,decimal,Video_images,6,6,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
90,583.png,0000001.0,kVAh,L1 L2 T1 t1,0.8,decimal,Video_images,6,6,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
91,585.png,0000000.0,kVAh,L1 L2 T1 t3,0.8,decimal,Video_images,7,7,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
92,606.png,0.00,V,L1 L2 T1 b,0.85,decimal,Video_images,1,2,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
93,607.png,0.000,A,L1 L2 T1 r,0.85,decimal,Video_images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
94,608.png,0.000,A,L1 L2 T1 y,0.85,decimal,Video_images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
95,617.png,0.000,kW,L1 L2 T1 P,0.85,decimal,Video_images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
96,618.png,0.008,kVA,L1 L2 T1 P,0.85,decimal,Video_images,1,2,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
97,622.png,1.000,,L1 L2 T1 PF R,0.85,decimal,Video_images,0,3,5,"decimal, repeated chars, multi-token text",Standard review,Not started,,,
98,625.png,1.000,,L1 L2 T1 PF B,0.85,decimal,Video_images,0,3,5,"decimal, repeated chars, multi-token text",Standard review,Not started,,,
99,626.png,50.000,Hz,L1 L2 T1 F,0.85,decimal,Video_images,0,3,4,"decimal, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
100,629.png,0000000.6,kWh,L1 L2 T1 t1B1,0.65,decimal,Video_images,7,7,4,"decimal, leading zeros, repeated chars, multi-token text, rare/explicit unit",Priority review,Not started,,,
