sample_key,split,group,source_image,compiled_image,regions,sha256
additional_100__batch_02__178.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\178.png,additional_100__batch_02__178.png,5,b86adbe4dffdaee50b1447b34c51e29c8a27f0ae549e5a1783c73c52d645ee01
additional_100__batch_02__181.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\181.png,additional_100__batch_02__181.png,5,0ad581129cf2c72ed5aadc125fcf9ab7bf33020175fab015b7c3432250c2c87c
additional_100__batch_02__201.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\201.png,additional_100__batch_02__201.png,6,d9f110dee87c38fbee353913a267f4762b1c26f3de6b08b35926f94e388b5e41
additional_100__batch_02__243.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\243.png,additional_100__batch_02__243.png,6,0b13e8dea538f6098f20780b7f2569ff55b45647a7577f9a243cf1c039d7fff5
additional_100__batch_02__271.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\271.png,additional_100__batch_02__271.png,4,0d233a68c92fb3e68f83036ab13f2528e9fcdecbb9514e56eb17de587f62527c
additional_100__batch_02__290.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\290.png,additional_100__batch_02__290.png,6,bf784209cc9c05f2bb2370ff12994c4ff985416255aa6826cc56b1c2c2124cd0
additional_100__batch_02__292.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\292.png,additional_100__batch_02__292.png,5,05eadcd9e815c01b0098ba5b76046c5c20adfef2004eff1dcff3a438b6ea5583
additional_100__batch_02__298.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\298.png,additional_100__batch_02__298.png,7,638ec01ea4fe5270d3cce165c5f52a7a3a6faea1067e99e8676add5af9384484
additional_100__batch_02__313.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\313.png,additional_100__batch_02__313.png,2,97e145e9480aef5a3007d39eea515b9288c568bfa44e28c630cd97fce9acaec7
additional_100__batch_02__357.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\357.png,additional_100__batch_02__357.png,4,834390a342344b648184aa7a6c920c656321f949c4713331e3f00bf3bf462a6b
additional_100__batch_02__372.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\372.png,additional_100__batch_02__372.png,7,5a0053f28245635439e7c1f3240822f4c8a92e4c24b0b2586914227192b0daad
additional_100__batch_03__123.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\123.png,additional_100__batch_03__123.png,1,a548179619e7473f00015156fa5d0231426f5c4ef93f769b644200881624d48e
additional_100__batch_03__148.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\148.png,additional_100__batch_03__148.png,3,d7126ed046e424e3f67e9af09ffe63015d1255d41ee86a5bb660a7e58eb95a23
additional_100__batch_03__162.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\162.png,additional_100__batch_03__162.png,5,04ea1c084e7cca0dc22a64d44a6b77cbaf0af063d55328f6876f0b2e7dc188c1
additional_100__batch_03__198.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\198.png,additional_100__batch_03__198.png,5,53ad664681698a7ee8d45053266ee3e6164d8e08c79b2e5a3b2c5ea985cd91db
additional_100__batch_03__223.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\223.png,additional_100__batch_03__223.png,3,619f3d3c767f6a4ddcdc693e9604c36f59552236ebc4c516921bc3c2d7fea24e
additional_100__batch_03__256.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\256.png,additional_100__batch_03__256.png,3,a390c923785e23fef323a69debe16ae8340605dbf2d929002e41314840fd2fbd
additional_100__batch_03__257.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\257.png,additional_100__batch_03__257.png,4,b44bdd8d94b6312045963aba3f19459fdadd335fae797157922cbcdc04cd22df
additional_100__batch_03__284.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\284.png,additional_100__batch_03__284.png,5,fd199b4c055aa60f2f619c47da3dc3589d929e082805a68e652c20ee3429f97b
additional_100__batch_03__303.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\303.png,additional_100__batch_03__303.png,3,5711d44cfdd01637f33ddf4e0026697c3a629a5651f2facc0a1e94f46fff9b4c
additional_100__batch_03__309.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\309.png,additional_100__batch_03__309.png,3,d703b668302ac2759f1c923691cf884594aa79bb060f195fc0758e4293e0cf43
additional_100__batch_03__347.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\347.png,additional_100__batch_03__347.png,3,5f0d70fe2c53b13932e3b7a643aa26af842892b1b57a4cebd862b7074a762488
additional_100__batch_03__385.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\385.png,additional_100__batch_03__385.png,3,0836a7510c0b61a906a8d7f8d74a7f4453d4ae0ed238ed12082cc69280e70cbc
additional_100__batch_03__399.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\399.png,additional_100__batch_03__399.png,2,5a691b3e085dd6b9b1baf7d86ccdd7fd4e6f967a594c6b08ed068b75c1bd3a58
additional_100__batch_03__411.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\411.png,additional_100__batch_03__411.png,7,b15eeacf74da91a8ff646798c0ea0a700f2e81acc6e835c4cccdc425133418ef
additional_100__batch_03__439.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\439.png,additional_100__batch_03__439.png,2,6e7daf202ff84dd8b890dc5beb4931b3190e701e7bbb567b05a19d246a45e5d3
additional_100__batch_03__67.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\67.png,additional_100__batch_03__67.png,3,b57434e61c4ea613a7f5d9161054142aa00e7a17754fe1ed070fa05d963460ab
additional_100__batch_03__69.png,train,additional_100__batch_03,D:\Actual Project\lcd-data-extractor\additional_100\batch_03\images\69.png,additional_100__batch_03__69.png,3,5c8fc6abc8c15f1acf7e0fece34f4e1e3c21a6eb4d332f2d41e9c6612519f1aa
additional_100__batch_04__397.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\397.png,additional_100__batch_04__397.png,3,69dd71251fe7b602c0394ab0933c3f12fb9f6cf3b1de4100f3feacb83f0fcb6d
additional_100__batch_04__409.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\409.png,additional_100__batch_04__409.png,5,63dcc457f6bb5ea13f2583e8ea4975f41621de0be61f4bb90fada8c0093cfe54
additional_100__batch_04__446.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\446.png,additional_100__batch_04__446.png,2,78a7b45ee67564badf71ee23fb022799950cfe1ebfa9a33ca11d79e98a8ed432
additional_100__batch_04__453.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\453.png,additional_100__batch_04__453.png,3,971c4a2184b9bd664b13d3e01a1f5c3d66c2c3b8c2a82bbc3a6fa2a3d812aa1c
additional_100__batch_04__467.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\467.png,additional_100__batch_04__467.png,2,5f6591fe45812c54c38b15484f5d8da877c4518139324fd5ed38061c8fe1a204
additional_100__batch_04__475.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\475.png,additional_100__batch_04__475.png,2,9ab0ab55033bb28c15f68f95664426a05acc99ca1fb987b699e6fa98f2dbdc69
additional_100__batch_04__477.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\477.png,additional_100__batch_04__477.png,3,c8cf517d3361e7633e952c1b8196c681c17081470b21b28c4dfa6c3256969f4d
additional_100__batch_04__482.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\482.png,additional_100__batch_04__482.png,7,4dd3d521701d1b9f5ce0774b51995ed80ba8acc505056da3f0de9440167be393
additional_100__batch_04__485.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\485.png,additional_100__batch_04__485.png,7,c5d25e2db73dfee23449fdb890a3d6f280c19aae045edfb50b80c3ff723b100d
additional_100__batch_04__501.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\501.png,additional_100__batch_04__501.png,2,942638108b09380c00892e6ad4c7b2b2544177abcbf5acb036a81cb1c0b3b5ad
additional_100__batch_04__544.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\544.png,additional_100__batch_04__544.png,8,baeb6c7c24e7ff7376c7ab1eddf75557a62b5666fde536ada9b87b6b7baddec6
additional_100__batch_04__547.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\547.png,additional_100__batch_04__547.png,8,8261fd8e9c28160cab32c55abdf56e1f39d2195a7b683e81979c4d8c412c0869
additional_100__batch_04__565.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\565.png,additional_100__batch_04__565.png,5,d4011073cd5588e86bd2626e4cced9b8e70526af6b4654243662e2198b619ada
additional_100__batch_04__566.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\566.png,additional_100__batch_04__566.png,5,1607f9347165b04eaf365b39b0aee6e1fa6f1f7787173f869b90ecdd43eb141c
additional_100__batch_04__638.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\638.png,additional_100__batch_04__638.png,7,e85a5c4a9b946d4bd9e3ead6e3796e2c8141bf4f6e458807a977806748fd25fd
additional_100__batch_04__641.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\641.png,additional_100__batch_04__641.png,7,ea0fc2ad02c242754b4b2f586b83a72203b0d55758b842af094f16719971a07b
additional_100__batch_04__656.png,train,additional_100__batch_04,D:\Actual Project\lcd-data-extractor\additional_100\batch_04\images\656.png,additional_100__batch_04__656.png,5,3afedfde49071a12e77c43a8e611bd82570fa1d7e5792374b94321e559606184
additional_100__batch_05__484.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\484.png,additional_100__batch_05__484.png,6,73257ccd649d516b2a1083e5c2fa74e71ac3154667dcda8af75e436f6df64aef
additional_100__batch_05__487.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\487.png,additional_100__batch_05__487.png,6,db798bd053771897f0a62bca00fa53bba84fb9cf4980e143f9cb9c98b356dbc0
additional_100__batch_05__502.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\502.png,additional_100__batch_05__502.png,4,f1787c86824b3b385e5d4eea1fb71a05aeafb127a3a95254c5beed80dd8ea17e
additional_100__batch_05__527.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\527.png,additional_100__batch_05__527.png,6,8e139506ba55a8e84fc5cde8e1a879fd8e6d0be104706fbbcfd5ea51ac6f4aa2
additional_100__batch_05__579.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\579.png,additional_100__batch_05__579.png,4,7aa8562c35fe94edcd18a36dcabf00b20a2a562adff93a11b05d595ba33dc9d1
additional_100__batch_05__593.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\593.png,additional_100__batch_05__593.png,6,d1d172d4239c7511d31e4a30420271388aa5cad1b86cffc4b0bd1fd6737e140e
additional_100__batch_05__603.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\603.png,additional_100__batch_05__603.png,6,52a013503d7ca09e89cb99d6ac72f7f67047d9a489eff62f5148ae509f8795a0
additional_100__batch_05__609.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\609.png,additional_100__batch_05__609.png,4,72a33bd6343d9468c2ec8e96f9e05865bd37d1b7be0c4542eaf15c18c99d542d
additional_100__batch_05__628.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\628.png,additional_100__batch_05__628.png,7,531284e741525047e9950ae309e5a286d15d8ea7cbe09b25182737a48dc2b0d7
additional_100__batch_05__634.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\634.png,additional_100__batch_05__634.png,4,f4219278b8b3a25f349c322b2672b8639539dfed099127e67dab4cf1af326d22
additional_100__batch_05__635.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\635.png,additional_100__batch_05__635.png,7,ce046d2f7a440bf1bea0ef11aeb260556dca8b0b8af32aa9e567cb85d769cefb
additional_100__batch_05__665.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\665.png,additional_100__batch_05__665.png,6,1df00a7589fee61d44d4ba632065e2060236d5dcbc3c06c60ad67edc2b8c9c09
additional_100__batch_05__672.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\672.png,additional_100__batch_05__672.png,6,ebaf80974fbc98753a309dfab2e8310a8e3be1780c5574f87ba8be8b59d045e9
additional_100__batch_05__673.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\673.png,additional_100__batch_05__673.png,6,0aa61c9328906c73fe43c72f9fe5ec28795795b59fa3762d2895bd54a1cf339b
additional_100__batch_05__678.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\678.png,additional_100__batch_05__678.png,6,0c8cb986cce720d69a404120cd570ec09aca7782bb6e1cd04a26aab49b2435f0
additional_100__batch_05__680.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\680.png,additional_100__batch_05__680.png,6,ae9b650d2c96a2899ba51c6c256c5d9fd2ebdea718a5771eae36528fadfbb653
additional_100__batch_05__685.png,train,additional_100__batch_05,D:\Actual Project\lcd-data-extractor\additional_100\batch_05\images\685.png,additional_100__batch_05__685.png,6,cc3504a2fa8b85d435974963a925cad05a41b42359c4e9ed03d4f672e56e13d4
next_100__batch_01__110.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\110.png,next_100__batch_01__110.png,2,c71d2ca1e0bcbfc718182f62599c87844335231eba2a2855816844db4c23c6ae
next_100__batch_01__117.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\117.png,next_100__batch_01__117.png,7,0c2c7685083a361f05a99b7caacb7f9e250045e50a8726a16005623a2e73e318
next_100__batch_01__151.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\151.png,next_100__batch_01__151.png,3,d6f9c0811e6a90eb91015c1cf89b5202a2d694667ee35ec43348125f22dea16e
next_100__batch_01__154.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\154.png,next_100__batch_01__154.png,3,de51c200a2ab19468b7e713f9f827044654866a486fd39e48b5b3e99e37f268d
next_100__batch_01__175.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\175.png,next_100__batch_01__175.png,7,958fad529317631e577c7ee38c40e360c62dc52c4152debe9f111bca359def7d
next_100__batch_01__185.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\185.png,next_100__batch_01__185.png,2,eb988e31147dc8308bdabd84ab01f435f1e226b3cfbbbd92d850be6f149d3c98
next_100__batch_01__188.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\188.png,next_100__batch_01__188.png,3,0acd2ab59d702be63d6800cbc15469a679e547d6f2cee9af373cec12f82b8d41
next_100__batch_01__247.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\247.png,next_100__batch_01__247.png,7,862fb590c762da9fcae63ce28bb2b3b8183e24e2151fb2fce6c74f0b3ff063fe
next_100__batch_01__248.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\248.png,next_100__batch_01__248.png,7,73c6a4e62d6cc3574e6d51a9fad5214510fd3658a23a07533b09131a15f590af
next_100__batch_01__276.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\276.png,next_100__batch_01__276.png,3,f6cdf9bb9a4519354820af236205027b6fdf767a909ec2443a8e41b8f354ddfa
next_100__batch_01__310.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\310.png,next_100__batch_01__310.png,7,25516f7c675e6cdaf7ef70da116f7810b24936bb680b36d28b7c9cbd8be7227d
next_100__batch_01__317.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\317.png,next_100__batch_01__317.png,2,41d1394a48df914c6574bac8fff37883f8500596254e4b22ce388a386752e4ed
next_100__batch_01__320.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\320.png,next_100__batch_01__320.png,2,ca9b671b6df285f0b8d666a0be28d79d06b0a453dd696600729c6e352dacdcf8
next_100__batch_01__37.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\37.png,next_100__batch_01__37.png,4,3724d4c17e9d61e7451794c61ec932bfd0893c6d61ee79d1fc090d5d4508c74e
next_100__batch_01__39.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\39.png,next_100__batch_01__39.png,5,ba73b7fd17c486f8c9b0f5e0660bdfebda81f759d8428bd5025a102a64e6b11f
next_100__batch_01__44.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\44.png,next_100__batch_01__44.png,4,715e96b81032c6c9466c76be80f3c7463f97dd4bcb386240b958b2d5b7579f4c
next_100__batch_01__45.png,train,next_100__batch_01,D:\Actual Project\lcd-data-extractor\next_100\batch_01\images\45.png,next_100__batch_01__45.png,3,fd7082e09c66393af39979fb0ae7a8eda939dd14a63159beead7906af47a4d33
next_100__batch_02__122.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\122.png,next_100__batch_02__122.png,5,0e4ef458299c1c8284cc759ef4eb949809120580cc21d60075407ea58356ae90
next_100__batch_02__130.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\130.png,next_100__batch_02__130.png,2,70e5e8d63ee65c0491e060a5a00893d2553c2496dbf3d6536dd8f2d473e59701
next_100__batch_02__155.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\155.png,next_100__batch_02__155.png,4,1250494525806f31f8707e758d966ed4d36026b89a562e8dffd308a487209483
next_100__batch_02__174.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\174.png,next_100__batch_02__174.png,5,8715b56ae98ddcfc966ba3ca005507989ed1bcb03383e923baa686028a794bf6
next_100__batch_02__199.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\199.png,next_100__batch_02__199.png,6,f8fde53e8fcfcedec93d6df834218a6d3a1dd4f4b08d239468a56996bb27309c
next_100__batch_02__211.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\211.png,next_100__batch_02__211.png,4,826eac013f3875b3282f4bbd04d08ebf1c5347826e7496a4d855b132fccbf4e6
next_100__batch_02__240.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\240.png,next_100__batch_02__240.png,6,e492c10c7c8e3a09d31a1421c7661319daf0a85cd0baffb16c114362fe562b30
next_100__batch_02__268.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\268.png,next_100__batch_02__268.png,4,cccfde939d0b361fc2fdb2da8e0a48c109cdcb7452083d835db3bab22ad14683
next_100__batch_02__272.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\272.png,next_100__batch_02__272.png,4,77ccf7d67b9ad19123a8d6f2d61d25e239fa6413cd5c4b38d18dfa85188cf2f9
next_100__batch_02__288.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\288.png,next_100__batch_02__288.png,6,d05f1262d3c630d709c1ad45ad52d6a4abba5c25978c3b9d5928c75c3c99c178
next_100__batch_02__289.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\289.png,next_100__batch_02__289.png,5,30e44f88be8b9612cd5eac686b8fe40c18676823169f8d1a94198f3444fd771c
next_100__batch_02__296.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\296.png,next_100__batch_02__296.png,5,65995a1b8e62f69c6de82da8ab2a8e75aad94413d036145abbbe1c8df48900ad
next_100__batch_02__344.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\344.png,next_100__batch_02__344.png,2,1631ecd37db8129dfd03ac9ad32885cbb7d0c02e8ba793b73030839d9e548eda
next_100__batch_02__352.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\352.png,next_100__batch_02__352.png,2,fda4738495efd279961583f06bdd5783b6e7c80ff316fed919cebcc227aa824f
next_100__batch_02__394.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\394.png,next_100__batch_02__394.png,2,6fa5fb68bd73caf3407eb6fb7d2f3c03bb52bffb59fca8a8007b2a6e3aa68b11
next_100__batch_02__79.png,train,next_100__batch_02,D:\Actual Project\lcd-data-extractor\next_100\batch_02\images\79.png,next_100__batch_02__79.png,2,3367954efbac0e0a0613d64bc417dd64bbb4bf3f11fd5213fc855682d3981bdf
