selection_id,batch,image,value,unit,display_text,confidence,format,source_group,leading_zeros,max_repeat_run,token_count,selection_reason,review_priority,annotation_status,notes
53,batch_03,69.png,000003,,S T1,0.6,integer,Images,5,5,2,"leading zeros, repeated chars",Priority review,Not started,
54,batch_03,123.png,,,C_OPEN,0.85,text_only,Images,0,0,1,coverage diversity,Standard review,Not started,
55,batch_03,126.png,,,PO mode n,0.65,text_only,Images,0,0,3,coverage diversity,Priority review,Not started,
56,batch_03,347.png,,,Pr mode n,0.65,text_only,Images,0,0,3,coverage diversity,Priority review,Not started,
57,batch_03,399.png,10:35:16,,t,0.9,colon,more_images,0,1,1,colon/time,Standard review,Not started,
58,batch_03,400.png,10:35:17,,t,0.9,colon,more_images,0,1,1,colon/time,Standard review,Not started,
59,batch_03,411.png,09:15:00,kVA,t IP B1 MD,0.9,colon,more_images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
60,batch_03,439.png,10:24:45,,t,0.9,colon,more_images,0,1,1,colon/time,Standard review,Not started,
61,batch_04,446.png,10:35:22,,t,0.9,colon,more_images,0,2,1,"colon/time, repeated chars",Standard review,Not started,
62,batch_04,465.png,11:13:52,,t,0.9,colon,more_images,0,2,1,"colon/time, repeated chars",Standard review,Not started,
63,batch_04,475.png,11:13:43,,t,0.9,colon,more_images,0,2,1,"colon/time, repeated chars",Standard review,Not started,
64,batch_04,397.png,251300,,S T1,0.75,integer,more_images,0,2,2,repeated chars,Priority review,Not started,
65,batch_04,409.png,000005,kVAh,EP B1,0.9,integer,more_images,5,5,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
66,batch_04,453.png,300000,,S T1,0.9,integer,more_images,0,5,2,repeated chars,Standard review,Not started,
67,batch_04,477.png,04251,,S T1,0.9,integer,more_images,1,1,2,leading zeros,Standard review,Not started,
68,batch_04,414.png,,,PuSh,0.85,text_only,more_images,0,0,1,coverage diversity,Standard review,Not started,
69,batch_04,467.png,,,S T1,0.2,text_only,more_images,0,0,2,low-confidence review,Mandatory review,Not started,
70,batch_04,482.png,01:01:58,kW,L1 L2 T1 d MD,0.85,colon,Video_images,1,1,5,"colon/time, leading zeros, multi-token text, explicit unit",Standard review,Not started,
71,batch_04,485.png,01:01:58,kVA,L1 L2 T1 d MD,0.85,colon,Video_images,1,1,5,"colon/time, leading zeros, multi-token text, explicit unit",Standard review,Not started,
72,batch_04,501.png,06:11:26,,t,0.9,colon,Video_images,1,2,1,"colon/time, leading zeros, repeated chars",Standard review,Not started,
73,batch_04,544.png,01:01:58,kW,L1 L2 T1 d B1 MD,0.7,colon,Video_images,1,1,6,"colon/time, leading zeros, multi-token text, explicit unit",Priority review,Not started,
74,batch_04,547.png,01:01:58,kVA,L1 L2 T1 d B1 MD,0.7,colon,Video_images,1,1,6,"colon/time, leading zeros, multi-token text, explicit unit",Priority review,Not started,
75,batch_04,565.png,01:01:58,,L1 L2 T1 d,0.85,colon,Video_images,1,1,4,"colon/time, leading zeros, multi-token text",Standard review,Not started,
76,batch_04,566.png,01:58:59,,L1 L2 T1 t,0.85,colon,Video_images,1,1,4,"colon/time, leading zeros, multi-token text",Standard review,Not started,
77,batch_04,638.png,01:01:58,kW,L2 T1 d B1 MD,0.7,colon,Video_images,1,1,5,"colon/time, leading zeros, multi-token text, explicit unit",Priority review,Not started,
78,batch_04,641.png,01:01:58,kVA,L2 T1 d B1 MD,0.7,colon,Video_images,1,1,5,"colon/time, leading zeros, multi-token text, explicit unit",Priority review,Not started,
79,batch_04,653.png,0000:00:05,,L1 L2 T1 POB,0.75,colon,Video_images,4,4,4,"colon/time, leading zeros, repeated chars, multi-token text",Priority review,Not started,
80,batch_04,656.png,02:06:32,,L1 L2 T1 t,0.85,colon,Video_images,1,1,4,"colon/time, leading zeros, multi-token text",Standard review,Not started,
81,batch_05,665.png,01:01:58,kW,L1 T1 d MD,0.85,colon,Video_images,1,1,4,"colon/time, leading zeros, multi-token text, explicit unit",Standard review,Not started,
82,batch_05,481.png,0.000,kW,L1 L2 T1 MD,0.85,decimal,Video_images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
83,batch_05,484.png,0.000,kVA,L1 L2 T1 MD,0.85,decimal,Video_images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
84,batch_05,487.png,0.913,,PF L1 L2 T1 AVG,0.85,decimal,Video_images,1,1,5,"decimal, leading zeros, multi-token text",Standard review,Not started,
85,batch_05,527.png,1.000,,L1 L2 T1 PF y,0.85,decimal,Video_images,0,3,5,"decimal, repeated chars, multi-token text",Standard review,Not started,
86,batch_05,593.png,0000001.0,kVAh,L1 L2 T1 t1,0.8,decimal,Video_images,6,6,4,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
87,batch_05,603.png,0.917,,PF L1 L2 T1 AVG,0.85,decimal,Video_images,1,1,5,"decimal, leading zeros, multi-token text",Standard review,Not started,
88,batch_05,609.png,0.000,A,T1 b,0.85,decimal,Video_images,1,3,2,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
89,batch_05,628.png,0000000.6,kWh,L1 L2 T1 b1 CUM,0.75,decimal,Video_images,7,7,5,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Priority review,Not started,
90,batch_05,635.png,0000000.6,kWh,L1 L2 T1 t1B1,0.65,decimal,Video_images,7,7,4,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Priority review,Not started,
91,batch_05,662.png,0000001.0,kVAh,L1 T1 CUM,0.8,decimal,Video_images,6,6,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
92,batch_05,672.png,0.00,V,L1 L2 T1 b,0.85,decimal,Video_images,1,2,4,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
93,batch_05,673.png,0.119,A,L1 L2 T1 r,0.85,decimal,Video_images,1,2,4,"decimal, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
94,batch_05,678.png,0.479,kVA,L1 L2 T1 P,0.85,decimal,Video_images,1,1,4,"decimal, leading zeros, multi-token text, explicit unit",Standard review,Not started,
95,batch_05,680.png,1.000,,L1 L2 T1 PF B,0.85,decimal,Video_images,0,3,5,"decimal, repeated chars, multi-token text",Standard review,Not started,
96,batch_05,685.png,50.000,Hz,L1 L2 T1 F,0.85,decimal,Video_images,0,3,4,"decimal, repeated chars, multi-token text, explicit unit",Standard review,Not started,
97,batch_05,502.png,000059,kWh,T2 F,0.85,integer,Video_images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
98,batch_05,519.png,000060,kWh,T2 F,0.85,integer,Video_images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
99,batch_05,579.png,000061,kWh,T2 F,0.85,integer,Video_images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
100,batch_05,634.png,000062,kWh,T2 F,0.85,integer,Video_images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
